#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
23600,-51279.239950689196,307.8461935472272,32.08326666874306,1.0320097023305086
23700,-51206.22275132577,306.1780113334619,32.122073520486445,1.0307629257956585
23800,-51090.74900301924,300.47456992135744,32.33847264671465,1.023865376893847
23900,-51272.04345222501,300.00502798175665,32.09498457232665,1.0316329147934407
24000,-51255.39048662536,292.20000466801457,31.87022081725521,1.038908474291878
24100,-51420.597271835744,290.9982568385104,32.082917620126565,1.0320209301609407
24200,-51408.232785472464,298.14779950543425,32.08977329435478,1.0318004487250334
24300,-51125.38244721375,298.8217295698571,32.01597020852828,1.03417895097179
24400,-51365.50696322909,306.23280786828497,32.05312655534375,1.0329801190355286
24500,-51068.85776790071,289.768244509883,32.29977500251995,1.0250920472980594
24600,-50897.9943020205,296.6494039060992,32.350926198417426,1.0234712379338178
24700,-51135.547458675974,304.31948298770266,32.3304194915645,1.0241204106008839
24800,-51114.210615710435,294.57274441859465,32.3304194915645,1.0241204106008839
24900,-51226.43328732581,305.7319791111719,31.989861346420987,1.0350230070098199
25000,-51135.47565310649,305.03411663349283,32.11999637816314,1.0308295833778467
25100,-51113.473875984666,300.7640949306981,32.11042339121481,1.0311369015974603
25200,-51208.130071741856,296.94954890879484,32.2486049604219,1.0267185983776794
25300,-51255.00844107978,295.05619563065835,32.06744178509585,1.032518986281864
25400,-50947.7161156721,294.77771102209624,32.146785971454236,1.0299705393254914
25500,-51169.519776032794,302.0137618071134,31.89928982984767,1.0379617433871244
25600,-51305.600962982724,302.752319152734,31.86298614995203,1.039144364209244
25700,-51273.17268987044,304.24680676536855,31.928787766418925,1.0370028053311664
25800,-51302.47673720999,302.0710846840886,31.928787766418925,1.0370028053311664
25900,-51072.27555276257,302.1443298972695,32.015420652039744,1.0341967030344283
26000,-51008.340468331335,295.4474347048382,32.015420652039744,1.0341967030344283
26100,-51046.16700098485,304.7405481764343,32.087815517677875,1.0318634020554844
26200,-51370.766536293384,301.0101540495531,31.983340884508177,1.0352340177394512
26300,-50911.90900979959,297.13070460335723,32.23606043035913,1.0271181416888473
26400,-51033.147246413115,301.63407922843834,32.19810505467726,1.0283289165115044
26500,-51137.053746828096,296.8095362531744,32.28167665250883,1.0256667533415318
26600,-51172.73425488114,301.8706873803733,32.038644376564314,1.0334470489899814
26700,-50958.75216510674,302.78445260870467,31.98181995309161,1.035283249457452
26800,-50854.220335187514,307.02465742035514,32.25267415853726,1.0265890611689201
26900,-50745.92295675009,302.34411527205253,32.3494785844325,1.023517037475017
27000,-50845.219198962084,305.0327163262517,32.35797348183525,1.0232483348559174
27100,-50919.50047591193,306.92725229234384,32.281621766889586,1.0256684971930425
27200,-50829.55751091139,302.38839368196335,32.15300700655599,1.029771258341364
27300,-50997.90823903167,312.17185964082404,32.15300700655599,1.029771258341364
27400,-51122.045372340435,305.71249507741595,32.0667774242784,1.032540378052814
27500,-51223.76404368693,302.8006397752543,32.21012357203691,1.0279452176130233
27600,-51097.67750415997,295.93996792390317,32.40803472717049,1.0216677056582095
27700,-50866.407753619926,292.63236273481726,32.31979376875754,1.0244571089004413
27800,-50877.624335507746,297.3950791966914,32.453396799332076,1.0202396590202631
27900,-50899.82716045212,303.9452180277133,32.453396799332076,1.0202396590202631
28000,-50978.40293067984,297.4008530911076,32.205802423847445,1.0280831400767305
28100,-51112.54941263847,300.02594339148567,32.1209663609634,1.0307984545831945
28200,-50748.583748469755,292.52162585913425,32.12342233199446,1.0307196456967331
28300,-50966.20645836852,307.86915472717226,31.99523768920641,1.0348490861741464
28400,-50678.799607960806,297.28683773534783,32.08179139671372,1.0320571590023955
28500,-50819.30031179297,304.2410561742955,31.929110126097495,1.0369923356409785
28600,-50939.90977381098,304.54558156494033,32.033544896913945,1.033611565349723
28700,-50942.00753624992,302.16510453905363,32.14620560313574,1.0299891344367584
28800,-51018.27498852723,303.9872347211279,32.192973671873055,1.0284928264805875
28900,-50789.58541599916,294.27057480410673,32.33026480473851,1.0241253105896932
29000,-51118.90022449799,296.45255912046065,32.26810167248121,1.0260982446586513
29100,-51233.96858474327,301.2413981863512,32.255463319032735,1.0265002910394638
29200,-51280.666241201325,300.5294594525196,32.5355947804237,1.0176621238386554
29300,-50935.95631087006,293.16393059401884,32.61754692993078,1.0151052301918193
29400,-50861.653134065404,303.303287107253,32.41768897196021,1.0213634449154803
29500,-50926.3360296795,298.25254202492016,32.53607340593706,1.0176471534072093
29600,-51002.5572925608,303.7790084088525,32.43331719521493,1.020871293716598
29700,-51013.372558192226,305.1461093812347,32.69665958549971,1.0126490872261324
29800,-51019.27111618299,303.97789638782007,32.408733587500784,1.0216456744662687
29900,-51333.46928001813,296.97987880414644,32.408733587500784,1.0216456744662687
